2021-09-02 09:19:45.240 INFO  io.lettuce.core.protocol.CommandHandler Line:217 - null Unexpected exception during request: java.io.IOException: 远程主机强迫关闭了一个现有的连接。
java.io.IOException: 远程主机强迫关闭了一个现有的连接。
	at sun.nio.ch.SocketDispatcher.read0(Native Method)
	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:43)
	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:223)
	at sun.nio.ch.IOUtil.read(IOUtil.java:192)
	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:379)
	at io.netty.buffer.PooledByteBuf.setBytes(PooledByteBuf.java:253)
	at io.netty.buffer.AbstractByteBuf.writeBytes(AbstractByteBuf.java:1132)
	at io.netty.channel.socket.nio.NioSocketChannel.doReadBytes(NioSocketChannel.java:350)
	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:151)
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:719)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:655)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:581)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:493)
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:748)
2021-09-02 09:19:45.293 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was /192.168.199.211:6379
2021-09-02 09:19:56.184 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:20:06.494 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:20:17.085 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:20:28.184 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:20:40.288 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:20:54.484 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:21:12.792 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:21:39.293 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:22:19.389 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:22:59.488 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:23:39.586 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:24:19.696 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
